Bird ID,Diet,infection,Day,mass,fat
106,protein,MG,7,23.53,1
SEM1974,protein,MG,7,18.45,0
SEM191481,protein,MG,7,21.51,0.5
610,protein,MG,7,20.63,2
SEM19107,protein,MG,7,18.82,0
48,lipid,control,14,23.09,2
Blue039,lipid,control,14,24.35,3
Blue098,lipid,control,14,19.13,2
Blue047,lipid,control,14,22.46,2.5
618,lipid,control,14,27.22,3
Blue010,lipid,control,14,20.01,0.5
Blue050,lipid,control,14,15.71,2
SEM19140,lipid,control,14,29.47,3
625,lipid,control,14,20.66,1.5
Blue043,lipid,MG,14,18.97,0.5
Blue015,lipid,MG,14,21.35,2
Blue055,lipid,MG,14,17.58,0
101LS,lipid,MG,14,22.43,3
Blue031,lipid,MG,14,17.85,1
619,lipid,MG,14,21.93,3
SEM1976,lipid,MG,14,23.89,3
209,lipid,MG,14,18.36,3
LD19239,lipid,MG,14,22.76,2
AR1721 ,lipid,MG,14,20.48,1
Blue049,protein,control,14,28.63,3
Orange24,protein,control,14,20.4,0
Blue024,protein,control,14,21.78,3
Blue013,protein,control,14,19.94,0
615,protein,control,14,18.27,1
601,protein,control,14,27.73,3
SEM191354,protein,control,14,20.75,2
172,protein,control,14,21.76,1
617,protein,control,14,22.26,2.5
164,protein,control,14,25.12,2
Blue035,protein,MG,14,23.76,2
Blue042,protein,MG,14,20.56,1
Blue045,protein,MG,14,20.33,0.5
Blue032,protein,MG,14,20.84,2
Blue037,protein,MG,14,19.03,1.5
SEM1974,protein,MG,14,21.66,1
SEM191481,protein,MG,14,22.42,0
610,protein,MG,14,21.19,2
SEM19107,protein,MG,14,20.38,1
48,lipid,control,21,23.23,2
Blue039,lipid,control,21,21.56,3
Blue098,lipid,control,21,18.9,2
Blue047,lipid,control,21,21.54,2
618,lipid,control,21,26.72,3
Blue010,lipid,control,21,18.95,2
Blue050,lipid,control,21,15.36,1.5
SEM19140,lipid,control,21,28.81,3
625,lipid,control,21,21.17,1.5
Blue043,lipid,MG,21,18.99,0.5
Blue015,lipid,MG,21,21.9,2
101LS,lipid,MG,21,24.22,3
Blue031,lipid,MG,21,16.78,0.5
619,lipid,MG,21,20.88,3
SEM1976,lipid,MG,21,24.54,3
209,lipid,MG,21,17.88,2
LD19239,lipid,MG,21,22.93,3
AR1721 ,lipid,MG,21,19.93,1
Blue049,protein,control,21,26.08,3
Orange24,protein,control,21,17.25,1
Blue024,protein,control,21,21.33,3
Blue013,protein,control,21,19.1,0
615,protein,control,21,18.08,1
601,protein,control,21,28.32,3
SEM191354,protein,control,21,20.61,1
172,protein,control,21,21.69,1
617,protein,control,21,22.21,3
164,protein,control,21,25.12,2
Blue035,protein,MG,21,24.52,1.5
Blue042,protein,MG,21,20.37,0.5
Blue045,protein,MG,21,19.56,0
Blue032,protein,MG,21,20.87,1
Blue037,protein,MG,21,19.96,1.5
SEM1974,protein,MG,21,22.36,1.5
SEM191481,protein,MG,21,22.33,0.5
610,protein,MG,21,21.24,2
SEM19107,protein,MG,21,22.14,1
48,lipid,control,35,24.98,2
Blue039,lipid,control,35,23.65,2.5
Blue098,lipid,control,35,19.28,2
Blue047,lipid,control,35,21.38,2
618,lipid,control,35,26.96,3
Blue010,lipid,control,35,19.81,2
Blue050,lipid,control,35,15.71,1
SEM19140,lipid,control,35,27.79,3
625,lipid,control,35,21.98,1.5
Blue043,lipid,MG,35,19.16,0.5
Blue015,lipid,MG,35,22.09,2
101LS,lipid,MG,35,24.85,3
619,lipid,MG,35,22.94,3
SEM1976,lipid,MG,35,25.37,3
209,lipid,MG,35,18.21,2
LD19239,lipid,MG,35,22.89,3
AR1721 ,lipid,MG,35,23.63,2
Blue049,protein,control,35,27.57,3
Blue024,protein,control,35,21.48,2.5
Blue013,protein,control,35,22.16,1
615,protein,control,35,19.26,0.5
601,protein,control,35,29.47,3
SEM191354,protein,control,35,20.73,1
172,protein,control,35,22.13,1
617,protein,control,35,22.18,3
164,protein,control,35,25.58,2
Blue035,protein,MG,35,25.68,2
Blue042,protein,MG,35,20.75,1.5
Blue045,protein,MG,35,19.7,0.5
Blue032,protein,MG,35,22.11,2
Blue037,protein,MG,35,20.04,1.5
SEM1974,protein,MG,35,22.84,2
SEM191481,protein,MG,35,24.49,1
610,protein,MG,35,22.15,2
SEM19107,protein,MG,35,23.29,1
